Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W82.00 muCep191i-WHya189e          16.41905       353.2       151.5        10.5
W81.02 RCas191i-WHya189e          17.30941       359.7         4.9        17.7
W81.02 RCas195i-WHya189e          17.30941       359.7         4.9        17.7
W80.98 RCas191i-WHya189e          17.30953       359.7       272.3         6.4
W80.98 gamCru102i-gamCru100i       19.12412       359.7        77.9         4.1
W82.00 gamCru102i-gamCru100i       19.12413       359.7        95.6         5.0
W82.06 gamCru102i-gamCru100i       19.12413       359.7       182.4         6.6
W82.21 gamCru102i-gamCru100i       19.12413       359.7       100.9        18.5
W84.64 gamCru102i-gamCru100i       19.12415       359.7       101.3         8.6
W84.82 gamCru102i-gamCru100i       19.12415       359.7        49.6         2.6
W84.86 gamCru102i-gamCru100i       19.12415       359.7        84.9         8.3
W85.67 gamCru102i-gamCru100i       19.12416       359.7       343.4         6.3
W86.4i gamCru102i-gamCru100i       19.12417       359.7       314.7        15.4
W86.58 gamCru102i-gamCru100i       19.12417       359.7        63.9        18.8
W87.19 WHya189e-gamCru187e         19.75541        65.2        32.3         4.6
W86.4i WHya189e-gamCru187e         19.75593        65.9        49.1         6.1
W82.00 WHya189e-gamCru187e         19.75922        70.6       229.3         5.7
W80.98 WHya189e-gamCru187e         19.76008        71.7        98.3         8.2
W80.98 WHya189e-gamCru187i         19.88425       145.3       259.5         5.5
W82.00 WHya189e-gamCru187i         19.88775       146.1       129.2         2.9
W85.67 WHya189e-gamCru187i         19.90006       148.4       298.7        15.7
W86.4i WHya189e-gamCru187i         19.90243       148.8       288.3         1.9
W87.19 WHya189e-gamCru187i         19.90496       149.3       359.5         3.6
W85.67 muCep193i-RCar191i          20.04904       149.2        24.9         1.8
W84.64 gamCru081i-betGru078i       20.91481       236.2        40.4         3.0
W84.82 gamCru081i-betGru078i       20.91510       237.1       244.2         5.0
W86.4o gamCru081i-betGru078i       20.91617       243.0       356.0         7.9
W86.58 gamCru081i-betGru078i       20.91620       243.4        75.2         6.1
W86.59 gamCru081i-betGru078i       20.91620       243.4        46.7        17.3
W80.98 gamCru187i-RCas185i         21.43874       180.6       191.4         5.9
W82.06 gamCru187i-RCas185i         21.43953       180.4       180.6        13.1
W82.21 gamCru187i-RCas185i         21.43965       180.4       140.6        10.6
W84.82 gamCru187i-RCas185i         21.44161       180.0       207.7         8.1
W87.19 gamCru081i-gamCru078i       21.45409       357.6       327.0         3.8
W86.4o gamCru081i-gamCru078i       21.45417       357.6        97.1         6.9
W86.4i gamCru081i-gamCru078i       21.45418       357.6        28.2         3.5
W84.82 gamCru081i-gamCru078i       21.45436       357.6       343.1        13.0
W84.64 gamCru081i-gamCru078i       21.45438       357.6        81.3         2.0
W83.63 gamCru081i-gamCru078i       21.45450       357.5        50.6         5.0
W82.21 gamCru081i-gamCru078i       21.45467       357.5       206.4         3.0
W82.06 gamCru081i-gamCru078i       21.45469       357.5       282.3         5.9
W82.00 gamCru081i-gamCru078i       21.45469       357.5       173.9         6.9
W80.98 gamCru081i-gamCru078i       21.45482       357.5        66.8         8.7
W80.98 gamCru187e-RCas185i         21.56290       254.2       352.6         2.4
W82.06 gamCru187e-RCas185i         21.56828       256.0        90.2        10.0
W82.21 gamCru187e-RCas185i         21.56903       256.2        46.1         6.9
W84.82 gamCru187e-RCas185i         21.58179       260.4        76.3         4.4
W85.67 gamCru187e-RCas185i         21.58589       261.6       358.6         3.0
Mi 6:2 gamCru187i-muCep185e        21.98222        92.2        57.7         9.8
W87.19 gamCru187i-muCep185e        21.99818        96.3        49.7         9.5
W86.58 gamCru187i-muCep185e        22.00188        97.2       283.9         5.8
W86.4i gamCru187i-muCep185e        22.00292        97.5        93.8        13.3
W84.86 gamCru187i-muCep185e        22.01253       100.1        40.6         8.3
W84.82 gamCru187i-muCep185e        22.01281       100.2         8.4         4.8
W84.64 gamCru187i-muCep185e        22.01397       100.5        21.6         1.9
W84.64 Whya189i-muCep185e          22.01397       100.5         2.2         1.4
W83.63 gamCru187i-muCep185e        22.02043       102.4       104.2        16.0
W82.21 gamCru187i-muCep185e        22.02984       105.1       116.7         8.8
W82.06 gamCru187i-muCep185e        22.03085       105.4       150.9         6.7
W82.00 gamCru187i-muCep185e        22.03119       105.5        49.9         6.0
W80.98 gamCru089i-gamCru086i       22.04923       359.7        43.1         6.5
W82.00 gamCru089i-gamCru086i       22.04924       359.7       314.6         6.1
W82.06 gamCru089i-gamCru086i       22.04924       359.7        67.1         6.8
W82.21 gamCru089i-gamCru086i       22.04924       359.7         0.9         0.7
W84.86 gamCru089i-gamCru086i       22.04926       359.8       325.1         6.5
W86.4i gamCru089i-gamCru086i       22.04927       359.8        22.5        10.9
W86.58 gamCru089i-gamCru086i       22.04927       359.8       218.0         6.1
