Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W87.19 gamCru089i-gamCru086i       22.04928       359.8       335.3        13.9
W87.19 gamCru082i-gamCru079i       22.11398       358.8       138.2         4.5
W86.58 gamCru082i-gamCru079i       22.11398       358.8       331.3         9.9
W86.4o gamCru082i-gamCru079i       22.11398       358.8       261.8         2.9
W86.4i gamCru082i-gamCru079i       22.11398       358.8       216.9         2.4
W85.67 gamCru082i-gamCru079i       22.11399       358.8       232.8         4.8
W84.82 gamCru082i-gamCru079i       22.11399       358.7       129.0         3.6
W84.64 gamCru082i-gamCru079i       22.11399       358.7       161.3         2.5
W82.21 gamCru082i-gamCru079i       22.11400       358.7        48.5         7.3
W82.06 gamCru082i-gamCru079i       22.11400       358.7       117.7         3.6
W82.00 gamCru082i-gamCru079i       22.11400       358.7         1.6         5.6
W80.98 gamCru082i-gamCru079i       22.11400       358.7        11.3         2.7
W87.19 gamCru187e-muCep185e        22.14773       180.3        18.2         2.4
W86.59 gamCru187e-muCep185e        22.14901       180.4       158.8         5.0
W86.4i gamCru187e-muCep185e        22.14943       180.4       335.2         8.1
W85.67 gamCru187e-muCep185e        22.15104       180.5         5.2         2.2
W84.86 gamCru187e-muCep185e        22.15289       180.6       293.4        11.7
W84.82 gamCru187e-muCep185e        22.15299       180.6       231.7         4.5
W84.64 gamCru187e-muCep185e        22.15341       180.6        18.4         1.4
W84.64 Whya189e-muCep185e          22.15341       180.6        18.4         1.4
W83.63 gamCru187e-muCep185e        22.15576       180.8        53.4         7.7
W82.21 gamCru187e-muCep185e        22.15922       181.0        14.8         1.3
W82.06 gamCru187e-muCep185e        22.15960       181.0        53.2         1.9
W82.00 gamCru187e-muCep185e        22.15972       181.0       303.9        10.3
W81.02 gamCru096i-gamCru093i       22.79000       337.0        87.8        13.0
W82.00 gamCru096i-gamCru093i       22.79031       337.2       335.1        13.1
W82.06 gamCru096i-gamCru093i       22.79033       337.2       104.2        10.0
W82.21 gamCru096i-gamCru093i       22.79038       337.3        62.4         2.9
W84.64 gamCru096i-gamCru093i       22.79116       337.9        85.3         6.5
W84.82 gamCru096i-gamCru093i       22.79122       338.0       177.3         1.7
W85.67 gamCru096i-gamCru093i       22.79149       338.2       352.0         6.0
W87.19 gamCru096i-gamCru093i       22.79197       338.5       204.5        15.2
W82.21 muCep193i-RCas191i          23.03314       353.6       285.9         2.6
W82.06 muCep193i-RCas191i          23.03320       353.6       332.8         2.3
W80.98 muCep193i-RCas191i          23.03360       353.6       334.5         1.3
W86.59 RSCnc080i-gamCru077i        23.30235       258.2       359.0         6.2
W86.4i RSCnc080i-gamCru077i        23.30259       258.5       270.9         2.0
W84.64 RSCnc080i-gamCru077i        23.30516       261.4       147.2         6.8
W82.21 RSCnc080i-gamCru077i        23.30989       266.2         1.7         5.6
W82.06 RSCnc080i-gamCru077i        23.31025       266.5        41.2         4.1
W82.00 RSCnc080i-gamCru077i        23.31038       266.6       265.7        10.0
W80.98 RSCnc080i-gamCru077i        23.31316       269.2       243.1        11.8
W80.98 RSCnc080e-gamCru077i        23.36817       300.4        10.4        18.5
W82.00 RSCnc080e-gamCru077i        23.37430       302.7        39.0         4.7
W82.06 RSCnc080e-gamCru077i        23.37459       302.8       175.0         3.6
W82.21 RSCnc080e-gamCru077i        23.37544       303.1       133.2         4.4
W84.64 RSCnc080e-gamCru077i        23.38816       307.2       277.2         5.5
W85.67 RSCnc080e-gamCru077i        23.39317       308.6       306.5         8.7
W86.59 RSCnc080e-gamCru077i        23.39741       309.8       354.4         3.8
Mi 6:2 muCep193i-muCep191i         23.92029         0.2       330.1        11.6
W86.59 muCep193i-muCep191i         23.92029         0.2       328.2         2.0
W86.4i muCep193i-muCep191i         23.92029         0.2       140.6         5.8
W84.86 muCep193i-muCep191i         23.92030         0.2       338.6         2.6
W84.82 muCep193i-muCep191i         23.92030         0.2       284.6         3.3
W84.64 muCep193i-muCep191i         23.92030         0.2       267.0         9.5
W82.06 muCep193i-muCep191i         23.92030         0.2        59.2         4.4
W82.00 muCep193i-muCep191i         23.92030         0.2       271.5         3.7
Mi 6:2 RSCnc085i-gamCru082i        24.29990       260.7       267.2        19.5
W86.4o RSCnc085i-gamCru082i        24.30511       266.6        67.2         4.8
W86.4i RSCnc085i-gamCru082i        24.30517       266.6        64.6         8.3
W85.67 RSCnc085i-gamCru082i        24.30666       268.1       233.2         2.6
W84.82 RSCnc085i-gamCru082i        24.30871       270.1       145.5         2.9
W84.64 RSCnc085i-gamCru082i        24.30919       270.5        64.0         9.7
W82.21 RSCnc085i-gamCru082i        24.31867       278.2       234.3         7.7
W82.00 RSCnc085i-gamCru082i        24.31997       279.2       133.1         5.1
W82.00 RSCnc085e-gamCru082i        24.35048       296.1        14.4         5.1
W82.06 RSCnc085e-gamCru082i        24.35100       296.3       133.8         5.8
W82.21 RSCnc085e-gamCru082i        24.35248       296.9       124.1         7.9
W84.64 RSCnc085e-gamCru082i        24.37052       303.8       246.6         9.2
W84.82 RSCnc085e-gamCru082i        24.37164       304.2        84.4         3.7
W84.86 RSCnc085e-gamCru082i        24.37192       304.3        89.4         3.7
W85.67 RSCnc085e-gamCru082i        24.37672       305.8       105.3         5.4
W86.4i RSCnc085e-gamCru082i        24.38077       307.1       304.5         5.3
W87.19 RSCnc085e-gamCru082i        24.38492       308.3       219.1        12.7
W86.59 RCas106i-betPeg104i         24.57308        91.8        35.9         2.8
W86.58 RCas106i-betPeg104i         24.57313        91.8       160.4         8.8
W85.67 RCas106i-betPeg104i         24.57575        93.7        25.4         4.0
W84.86 RCas106i-betPeg104i         24.57837        95.5       104.6         2.6
W84.64 RCas106i-betPeg104i         24.57914        96.1       176.9         7.0
W82.21 RCas106i-betPeg104i         24.58953       103.0       141.1         4.9
W82.06 RCas106i-betPeg104i         24.59037       103.5       136.0         8.1
W82.00 RCas106i-betPeg104i         24.59066       103.7       358.4         7.7
W80.98 RCas106i-betPeg104i         24.59790       108.1       181.4         5.2
W85.67 lamVel173i-betPeg172i       25.62358       197.2       170.2        14.3
W80.98 betPeg104i-gamCru102i       25.78787       118.6       182.6         7.0
W82.00 betPeg104i-gamCru102i       25.78883       119.5       286.4         3.7
W82.06 betPeg104i-gamCru102i       25.78888       119.6        47.8         3.4
W82.21 betPeg104i-gamCru102i       25.78902       119.7        44.8        13.5
W84.64 betPeg104i-gamCru102i       25.79128       121.7        32.1         2.2
W84.86 betPeg104i-gamCru102i       25.79149       121.9       349.4         9.8
W85.67 betPeg104i-gamCru102i       25.79224       122.5       155.3         4.5
W86.4i betPeg104i-gamCru102i       25.79291       123.1       314.7         3.9
W86.59 betPeg104i-gamCru102i       25.79309       123.2       307.2         4.3
W86.4o WHya181i-WHya179i          26.60473         0.5       164.9         2.0
W84.86 WHya181i-WHya179i          26.60475         0.6       116.6         3.7
W82.21 WHya181i-WHya179i          26.60479         0.6       147.4         5.6
W82.00 WHya181i-WHya179i          26.60479         0.6       342.7         3.1
W81.02 WHya181i-WHya179i          26.60480         0.6       324.2         5.2
W80.98 WHya181i-WHya179i          26.60481         0.6        60.8         6.4
Pd 4:2 gamCru089i-RSCnc085e        27.13623        46.9       303.8         3.5
W87.19 gamCru089i-RSCnc085e        27.14962        50.5       318.5         3.1
W86.59 gamCru089i-RSCnc085e        27.15274        51.4       271.4         3.2
W85.67 gamCru089i-RSCnc085e        27.15780        53.0       283.4         3.1
W84.86 gamCru089i-RSCnc085e        27.16260        54.5       318.7         0.7
W84.82 gamCru089i-RSCnc085e        27.16287        54.6       274.0         3.2
W84.64 gamCru089i-RSCnc085e        27.16400        55.0       185.8         5.6
W82.06 gamCru089i-RSCnc085e        27.18349        62.4       183.3        12.2
W82.00 gamCru089i-RSCnc085e        27.18401        62.6        41.0         2.1
W82.00 gamCru089i-RSCnc085i        27.21452        79.5       280.4         3.9
W82.06 gamCru089i-RSCnc085i        27.21487        79.8        69.0         5.5
W82.21 gamCru089i-RSCnc085i        27.21582        80.5        69.2         0.3
W84.64 gamCru089i-RSCnc085i        27.22532        88.2         5.4         2.7
W84.82 gamCru089i-RSCnc085i        27.22581        88.7       214.1         3.1
W86.58 gamCru089i-RSCnc085i        27.22969        92.5       199.9         8.4
W86.59 gamCru089i-RSCnc085i        27.22973        92.5       163.2         4.9
W87.19 gamCru089i-RSCnc085i        27.23079        93.6        98.5        11.0
W82.00 gamCru077i-gamCru073i       28.14965       359.0       240.4         1.5
W82.06 gamCru077i-gamCru073i       28.14965       359.0         8.7         1.5
W82.21 gamCru077i-gamCru073i       28.14965       359.0        61.3         3.2
W84.64 gamCru077i-gamCru073i       28.14969       359.0        28.3         7.4
W86.59 gamCru077i-gamCru073i       28.14972       359.0       228.4         4.6
W87.19 gamCru077i-gamCru073i       28.14973       359.0       290.0         0.9
W84.64 gamCru082i-betGru078i       28.27340       235.8        28.3        12.8
W84.82 gamCru082i-betGru078i       28.27369       236.7       196.4         5.9
W84.86 gamCru082i-betGru078i       28.27375       236.9       260.8         2.9
W85.67 gamCru082i-betGru078i       28.27448       240.1       286.9         2.7
W87.19 gamCru081i-gamCru077i       28.49666       357.4        65.5         2.2
W86.59 gamCru081i-gamCru077i       28.49672       357.4        28.2         6.1
W86.4o gamCru081i-gamCru077i       28.49674       357.4       167.6        11.9
W84.64 gamCru081i-gamCru077i       28.49695       357.4       115.3         9.6
W82.21 gamCru081i-gamCru077i       28.49722       357.3         8.6         4.6
W82.06 gamCru081i-gamCru077i       28.49724       357.3       329.8         2.0
W82.00 gamCru081i-gamCru077i       28.49725       357.3       175.4         1.9
W85.67 WHya189e-WHya186e          28.71121       358.8        80.5        19.7
W81.02 WHya189e-WHya186e          28.71125       358.7       182.0         7.5
W80.98 WHya189e-WHya186e          28.71125       358.7        88.3         7.7
W87.19 gamCru082i-gamCru078i       28.81266       357.2        54.6        17.4
W86.4o gamCru082i-gamCru078i       28.81275       357.2       173.8         1.7
W86.4i gamCru082i-gamCru078i       28.81276       357.2       119.3         0.8
W85.67 gamCru082i-gamCru078i       28.81284       357.2       198.5         8.3
W84.86 gamCru082i-gamCru078i       28.81294       357.1        19.8         6.5
W84.82 gamCru082i-gamCru078i       28.81295       357.1       296.9        13.8
W84.64 gamCru082i-gamCru078i       28.81297       357.1        66.7        12.7
W82.21 gamCru082i-gamCru078i       28.81327       357.0       166.8         7.0
W82.06 gamCru082i-gamCru078i       28.81329       357.0       154.6         1.3
W82.00 gamCru082i-gamCru078i       28.81329       357.0         0.9        11.2
W80.98 gamCru082i-gamCru078i       28.81342       357.0       139.7         6.4
W80.98 gamCru086i-gamCru082i       29.48525       359.0        18.7         3.7
W81.02 gamCru086i-gamCru082i       29.48525       359.0       111.3        10.4
W82.00 gamCru086i-gamCru082i       29.48526       359.0        95.4         4.1
W82.21 gamCru086i-gamCru082i       29.48526       359.0       301.7         3.4
W84.86 gamCru086i-gamCru082i       29.48526       359.0        83.0         1.3
W86.4o gamCru086i-gamCru082i       29.48527       359.0       292.4         8.7
W87.19 gamCru086i-gamCru082i       29.48527       359.0       197.8        13.5
Mi 6:2 gamCru093i-gamCru089i       30.51235        28.5        69.0        15.6
W86.4i gamCru093i-gamCru089i       30.51319        29.7        75.8        11.4
W85.67 gamCru093i-gamCru089i       30.51337        29.9        47.9        12.9
W84.86 gamCru093i-gamCru089i       30.51357        30.2       178.8         4.4
W84.64 gamCru093i-gamCru089i       30.51362        30.3       271.5         3.5
W82.06 gamCru093i-gamCru089i       30.51425        31.3        35.4         4.3
W82.00 gamCru093i-gamCru089i       30.51426        31.3       255.0        12.9
W80.98 gamCru093i-gamCru089i       30.51451        31.7       176.3         7.9
W87.19 RSCnc085i-gamCru081i        31.66233       264.7       155.9        15.1
W86.59 RSCnc085i-gamCru081i        31.66339       265.8        48.8         6.6
W86.58 RSCnc085i-gamCru081i        31.66342       265.9       334.7         2.5
W86.4i RSCnc085i-gamCru081i        31.66375       266.2       142.9         3.6
W84.82 RSCnc085i-gamCru081i        31.66730       269.6        96.7         1.3
W84.64 RSCnc085i-gamCru081i        31.66778       270.1        54.3         5.2
W83.63 RSCnc085i-gamCru081i        31.67085       272.8        51.5        13.8
W82.21 RSCnc085i-gamCru081i        31.67727       277.8       200.1         7.8
W82.06 RSCnc085i-gamCru081i        31.67822       278.5       109.9         5.8
W82.00 RSCnc085i-gamCru081i        31.67857       278.7       325.8         4.4
W82.00 RSCnc085e-gamCru081i        31.70908       295.6       204.8         2.2
W82.06 RSCnc085e-gamCru081i        31.70960       295.9       352.6         3.2
W82.21 RSCnc085e-gamCru081i        31.71108       296.5        86.2         4.1
W83.63 RSCnc085e-gamCru081i        31.72251       301.0       330.7         3.5
W84.64 RSCnc085e-gamCru081i        31.72911       303.3       234.9         4.6
W84.82 RSCnc085e-gamCru081i        31.73023       303.7        35.6         2.2
W86.4i RSCnc085e-gamCru081i        31.73935       306.6        34.8         6.8
W86.4o RSCnc085e-gamCru081i        31.73951       306.7        44.2         1.4
W86.58 RSCnc085e-gamCru081i        31.74027       306.9       325.5        19.6
W86.59 RSCnc085e-gamCru081i        31.74038       306.9       297.3         1.2
W87.19 RSCnc085e-gamCru081i        31.74350       307.9       306.0         3.0
W85.67 alpLyr175i-lamVel173i       32.04170       120.2        18.2         8.9
W85.67 RCas194e-RCar191i          33.22290       304.3       214.1         1.6
W87.19 gamCru100i-gamCru096i       34.94900        36.0       257.1         8.6
